kind,level,clip_stem,frames,psnr,ssim,lpips,psnr_in,tof,tof_in,brisque,niqe
gaussian,low,aerobatics,71,35.3943,0.92476,0.09885,24.8879,12.25266,17.09709,20.0258,3.7436
gaussian,low,car-race,31,35.5014,0.89442,0.06335,25.7127,35.65141,38.66411,23.6054,3.4313
gaussian,low,carousel,69,30.9798,0.87981,0.08522,24.7212,33.31278,38.36166,10.785,2.6499
gaussian,low,cats-car,67,33.4068,0.9003,0.0612,25.2432,42.57933,46.02117,10.9689,2.9327
gaussian,low,chamaleon,80,33.2971,0.92962,0.05684,24.7237,25.99836,31.06274,11.9046,3.1662
gaussian,low,deer,79,37.0015,0.92899,0.14187,24.6717,4.78789,10.17572,17.3352,3.5582
gaussian,low,giant-slalom,80,37.3847,0.94087,0.13652,24.6133,1.66251,7.11662,32.1064,3.7739
gaussian,low,girl-dog,80,32.6721,0.88513,0.11132,24.6921,26.23083,31.04214,8.7211,2.7483
gaussian,low,golf,79,31.7788,0.88383,0.09161,24.8816,21.17309,26.01061,4.2714,2.6963
gaussian,low,guitar-violin,55,36.6315,0.9379,0.10433,24.9204,18.17895,22.90737,30.4546,4.4998
gaussian,low,gym,60,35.4425,0.92626,0.12436,24.6416,18.17304,23.38708,21.3523,3.4017
gaussian,low,helicopter,49,35.4953,0.91222,0.1319,24.7291,6.38283,11.69837,16.1725,3.5924
gaussian,low,horsejump-stick,58,32.7569,0.91067,0.07615,24.6858,37.66719,42.17099,21.5313,3.5458
gaussian,low,hoverboard,80,37.8268,0.94727,0.12943,24.6562,11.23768,16.63715,36.6051,5.2383
gaussian,low,lock,43,36.752,0.90933,0.15529,25.1504,10.00693,14.64039,21.6104,4.7591
gaussian,low,man-bike,75,37.7425,0.942,0.10999,26.0346,5.66194,9.08399,15.5129,4.2666
gaussian,low,monkeys-trees,80,29.6489,0.92148,0.0765,24.6156,14.58504,20.03214,4.0437,4.5566
gaussian,low,mtb-race,69,31.3047,0.91829,0.05638,24.9777,44.75209,49.74391,6.8258,2.552
gaussian,low,orchid,57,34.8481,0.93324,0.08979,24.7171,14.91407,20.33754,15.0155,3.5781
gaussian,low,people-sunset,67,37.0046,0.93056,0.12186,24.998,6.25862,11.39199,23.9664,4.593
gaussian,low,planes-crossing,31,37.0051,0.9551,0.05397,24.6664,13.28555,19.09934,24.6168,5.0885
gaussian,low,rollercoaster,70,34.0423,0.94612,0.03797,24.7811,53.68157,59.18229,1.3316,3.576
gaussian,low,salsa,80,30.3945,0.89747,0.04497,24.9397,23.50806,27.96136,-3.3803,2.9192
gaussian,low,seasnake,80,31.463,0.87824,0.05132,25.2196,18.48405,23.10643,20.3827,3.2789
gaussian,low,skate-jump,68,33.3726,0.92232,0.06932,24.6876,3.7451,9.30571,15.0309,3.0126
gaussian,low,slackline,60,35.246,0.89508,0.15878,24.9167,8.44665,13.18423,23.5933,3.1935
gaussian,low,subway,80,35.5073,0.92596,0.07496,25.4493,7.62547,11.78885,25.2314,4.0815
gaussian,low,tandem,72,33.5549,0.91023,0.09164,24.8129,23.95248,28.7538,12.0821,3.0033
gaussian,low,tennis-vest,75,34.9467,0.9198,0.09878,24.6423,13.92256,18.85398,30.0349,3.4665
gaussian,low,tractor,65,33.8427,0.91376,0.10123,24.8104,17.00605,21.73423,11.9244,2.6899
gaussian,medium,aerobatics,71,32.8798,0.89045,0.16942,20.6119,11.93415,25.05647,24.4702,4.0409
gaussian,medium,car-race,31,32.8075,0.84723,0.12061,21.5099,34.85217,43.42405,23.1052,3.4959
gaussian,medium,carousel,69,28.4215,0.80155,0.19058,20.4112,32.16085,45.67945,15.6797,2.666
gaussian,medium,cats-car,67,30.7495,0.85687,0.11147,21.0074,41.35876,51.22607,13.0887,3.1868
gaussian,medium,chamaleon,80,30.5737,0.89318,0.10152,20.3893,25.23621,39.06922,13.8627,3.1799
gaussian,medium,deer,79,34.4107,0.89169,0.232,20.3829,4.65924,19.03343,22.7364,4.134
gaussian,medium,giant-slalom,80,34.711,0.91093,0.22421,20.1913,1.64978,16.70083,32.9502,4.1806
gaussian,medium,girl-dog,80,30.1838,0.81247,0.22351,20.4384,25.56107,38.66979,16.3307,2.8521
gaussian,medium,golf,79,29.3016,0.80446,0.2151,20.6343,20.38799,33.05294,11.1184,2.7059
gaussian,medium,guitar-violin,55,33.9812,0.90739,0.15808,20.7835,17.68325,29.85622,30.4142,4.7862
gaussian,medium,gym,60,32.8639,0.89197,0.19868,20.4083,17.95268,31.79211,24.1009,3.7776
gaussian,medium,helicopter,49,32.9988,0.86724,0.2135,20.4735,6.2627,20.33689,23.8314,4.1172
gaussian,medium,horsejump-stick,58,30.1577,0.8498,0.15,20.415,36.72004,49.44507,25.2056,3.4079
gaussian,medium,hoverboard,80,35.1123,0.92127,0.18496,20.2577,11.09814,25.97794,36.911,5.366
gaussian,medium,lock,43,34.1223,0.8726,0.22901,21.0539,9.74002,21.35117,27.6797,5.5939
gaussian,medium,man-bike,75,35.4239,0.93218,0.13349,21.6536,5.43554,15.10431,17.6493,4.9368
gaussian,medium,monkeys-trees,80,26.8815,0.85374,0.15759,20.2067,14.15895,28.75025,3.2689,4.7012
gaussian,medium,mtb-race,69,28.6104,0.87215,0.09537,20.7487,43.28279,55.61701,5.4981,2.7351
gaussian,medium,orchid,57,32.281,0.90051,0.14823,20.4571,14.77355,29.35488,19.0501,3.9294
gaussian,medium,people-sunset,67,34.4042,0.89758,0.19903,20.8708,6.06251,19.06399,24.4631,5.0991
gaussian,medium,planes-crossing,31,34.1902,0.92867,0.1128,20.2963,13.21258,29.6022,25.4556,4.843
gaussian,medium,rollercoaster,70,31.3026,0.92177,0.07544,20.4733,52.18765,67.01963,3.0392,3.4477
gaussian,medium,salsa,80,27.6919,0.82189,0.11966,20.7399,23.28717,35.32282,-0.789,2.9333
gaussian,medium,seasnake,80,28.679,0.80803,0.10254,20.9583,17.50835,29.37102,21.7451,3.2596
gaussian,medium,skate-jump,68,30.7273,0.86735,0.14687,20.395,4.01527,19.41391,16.4903,3.0826
gaussian,medium,slackline,60,32.7945,0.83469,0.26593,20.8439,8.00779,19.87205,26.5177,3.7625
gaussian,medium,subway,80,32.75,0.88699,0.13067,21.3078,7.55522,18.32294,22.3003,4.0544
