track,split,kind,level,clip_stem,lighting,condition,frames,psnr,ssim,lpips,psnr_in,tof,tof_in,brisque,niqe
C,test,none,real,raw_video_013_clip_0000,night,clear,80,,,,,2.59442,2.59845,14.7098,4.4701
C,test,none,real,raw_video_013_clip_0001,night,clear,80,,,,,6.111,6.10936,29.649,5.1925
C,test,none,real,raw_video_013_clip_0002,night,clear,80,,,,,7.12942,7.12217,27.7878,5.1243
C,test,none,real,raw_video_013_clip_0003,night,clear,80,,,,,5.94012,5.95469,33.835,5.1544
C,test,none,real,raw_video_013_clip_0004,night,clear,80,,,,,7.30837,7.30099,29.2187,5.058
C,test,none,real,raw_video_013_clip_0005,night,clear,80,,,,,7.72855,7.71704,29.2471,5.0491
C,test,none,real,raw_video_013_clip_0006,night,clear,80,,,,,5.17328,5.1691,33.7918,5.3632
C,test,none,real,raw_video_013_clip_0007,night,clear,80,,,,,5.07885,5.0797,26.5727,5.1047
C,test,none,real,raw_video_013_clip_0008,night,clear,80,,,,,5.75969,5.76567,53.6424,5.8937
C,test,none,real,raw_video_013_clip_0009,night,clear,80,,,,,7.8604,7.85789,24.8879,4.5813
C,test,none,real,raw_video_013_clip_0010,night,clear,80,,,,,4.70507,4.71179,56.9104,6.3437
C,test,none,real,raw_video_013_clip_0011,night,clear,80,,,,,7.38239,7.38023,25.8646,4.957
C,test,none,real,raw_video_013_clip_0012,night,clear,80,,,,,5.95865,5.9621,27.5679,4.8915
C,test,none,real,raw_video_013_clip_0021,night,clear,80,,,,,3.17383,3.17184,26.9854,4.9628
C,test,none,real,raw_video_013_clip_0022,night,clear,80,,,,,8.14654,8.14906,23.8406,4.3767
C,test,none,real,raw_video_013_clip_0023,night,clear,80,,,,,9.06281,9.06105,27.7885,4.3602
C,test,none,real,raw_video_013_clip_0024,night,clear,80,,,,,13.09962,13.079,26.3105,4.6659
C,test,none,real,raw_video_013_clip_0025,night,clear,80,,,,,8.32208,8.31518,35.6066,5.0942
C,test,none,real,raw_video_013_clip_0026,night,clear,80,,,,,7.8161,7.81318,25.6414,4.6433
C,test,none,real,raw_video_013_clip_0027,night,clear,80,,,,,3.10772,3.10856,57.6474,6.3443
C,test,none,real,raw_video_013_clip_0028,night,shadow,80,,,,,6.87649,6.87151,26.7115,4.8979
C,test,none,real,raw_video_013_clip_0029,night,clear,80,,,,,7.75044,7.74586,29.4263,5.1328
C,test,none,real,raw_video_013_clip_0030,night,glare,80,,,,,8.58844,8.58466,25.0181,4.9386
C,test,none,real,raw_video_013_clip_0031,night,clear,80,,,,,12.0941,12.07166,26.372,4.913
C,test,none,real,raw_video_013_clip_0032,night,clear,80,,,,,9.11601,9.11488,29.153,5.1255
C,test,none,real,raw_video_013_clip_0033,night,clear,80,,,,,6.11994,6.11775,33.7961,5.2199
C,test,none,real,raw_video_013_clip_0034,night,clear,80,,,,,3.23007,3.23339,35.1328,5.3745
C,test,none,real,raw_video_013_clip_0035,night,clear,80,,,,,2.92887,2.93123,52.3512,6.4363
C,test,none,real,raw_video_013_clip_0036,night,clear,80,,,,,2.986,2.98832,61.1182,7.1701
C,test,none,real,raw_video_013_clip_0037,night,clear,80,,,,,3.15256,3.15556,39.1062,5.9497
C,test,none,real,raw_video_013_clip_0038,night,clear,80,,,,,2.84689,2.85003,75.8174,7.8182
C,test,none,real,raw_video_013_clip_0039,night,shadow,80,,,,,2.8508,2.85335,72.7815,7.9132
